Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Noah Fant,DEN,7,6,92,1,5,31,5.2,61,10.2,5.3,0,,0,0.0,0,158.3
Melvin Gordon,DEN,4,3,29,0,1,8,2.7,21,7.0,2.5,0,,1,25.0,0,94.8
Courtland Sutton,DEN,5,3,60,0,2,49,16.3,11,3.7,16.8,0,,0,0.0,0,102.1
Kendall Hinton,DEN,5,2,23,0,1,21,10.5,2,1.0,12.4,0,,0,0.0,0,54.6
Albert Okwuegbunam,DEN,2,2,5,0,1,-2,-1.0,7,3.5,-1.0,0,,0,0.0,0,79.2
Drew Lock,DEN,1,1,1,0,0,-5,-5.0,6,6.0,-5.0,0,,0,0.0,0,79.2
Seth Williams,DEN,1,1,34,0,1,30,30.0,4,4.0,30.0,0,,0,0.0,0,118.7
Javonte Williams,DEN,1,1,2,0,0,-2,-2.0,4,4.0,-2.0,0,,0,0.0,0,79.2
Eric Saubert,DEN,1,0,0,0,,0,,0,,9.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Keenan Allen,LAC,9,4,44,1,3,38,9.5,6,1.5,9.9,0,,1,11.1,0,96.5
Tre' McKitty,LAC,3,3,22,0,1,7,2.3,15,5.0,2.3,0,,0,0.0,0,97.2
Justin Jackson,LAC,3,3,20,0,2,4,1.3,16,5.3,1.3,0,,0,0.0,0,94.4
Josh Palmer,LAC,5,3,16,0,1,12,4.0,4,1.3,3.6,0,,1,20.0,0,65.4
Austin Ekeler,LAC,3,3,54,0,2,-10,-3.3,64,21.3,-3.3,2,1.5,0,0.0,0,118.7
Mike Williams,LAC,4,3,63,1,2,46,15.3,17,5.7,17.0,0,,0,0.0,0,156.2
Jalen Guyton,LAC,2,2,10,0,1,7,3.5,3,1.5,3.5,0,,0,0.0,0,87.5
Stephen Anderson,LAC,1,1,8,0,1,-4,-4.0,12,12.0,-4.0,0,,0,0.0,0,100.0
