Quarter,Time,Tm,Detail,PIT,OAK
1.0,11:33,Steelers,Heath Miller 4 yard pass from Ben Roethlisberger (Shaun Suisham kick),7,0
,10:33,Raiders,Darren McFadden 64 yard rush (Sebastian Janikowski kick),7,7
,3:49,Steelers,Heath Miller 4 yard pass from Ben Roethlisberger (Shaun Suisham kick),14,7
2.0,1:54,Raiders,Darrius Heyward-Bey 3 yard pass from Carson Palmer (Sebastian Janikowski kick),14,14
,0:00,Steelers,Shaun Suisham 33 yard field goal,17,14
3.0,11:40,Steelers,Mike Wallace 22 yard pass from Ben Roethlisberger (Shaun Suisham kick),24,14
,6:35,Raiders,Richard Gordon 1 yard pass from Carson Palmer (Sebastian Janikowski kick),24,21
,1:31,Steelers,Antonio Brown 11 yard pass from Ben Roethlisberger (Shaun Suisham kick),31,21
4.0,12:13,Raiders,Denarius Moore 6 yard pass from Carson Palmer (Sebastian Janikowski kick),31,28
,6:30,Raiders,Sebastian Janikowski 32 yard field goal,31,31
,0:00,Raiders,Sebastian Janikowski 43 yard field goal,31,34
