Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Andy Dalton,CIN,26,40,337,3,1,3,19,54,105.9,7,17,0,6,0,0,0,0,,0,0
BenJarvus Green-Ellis,CIN,0,0,0,0,0,0,0,,,18,86,0,25,1,0,0,0,,0,0
Marvin Jones,CIN,0,0,0,0,0,0,0,,,1,34,0,34,5,3,71,1,42,0,0
Giovani Bernard,CIN,0,0,0,0,0,0,0,,,15,28,0,7,7,6,72,1,23,0,0
A.J. Green,CIN,0,0,0,0,0,0,0,,,0,0,0,,11,6,103,1,54,0,0
Mohamed Sanu,CIN,0,0,0,0,0,0,0,,,0,0,0,,6,5,44,0,14,0,0
Dane Sanzenbacher,CIN,0,0,0,0,0,0,0,,,0,0,0,,1,1,23,0,23,0,0
Tyler Eifert,CIN,0,0,0,0,0,0,0,,,0,0,0,,3,2,13,0,10,0,0
Brandon Tate,CIN,0,0,0,0,0,0,0,,,0,0,0,,1,1,6,0,6,0,0
Jermaine Gresham,CIN,0,0,0,0,0,0,0,,,0,0,0,,4,2,5,0,4,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Thaddeus Lewis,BUF,19,32,216,2,0,5,24,47,100.5,7,17,1,5,0,0,0,0,,1,1
C.J. Spiller,BUF,0,0,0,0,0,0,0,,,10,55,0,19,2,2,11,0,8,0,0
Fred Jackson,BUF,0,0,0,0,0,0,0,,,10,35,0,11,5,4,13,0,9,0,0
Tashard Choice,BUF,0,0,0,0,0,0,0,,,4,24,0,13,3,2,9,0,5,0,0
T.J. Graham,BUF,0,0,0,0,0,0,0,,,0,0,0,,6,4,74,0,47,0,0
Scott Chandler,BUF,0,0,0,0,0,0,0,,,0,0,0,,4,2,47,1,25,0,0
Robert Woods,BUF,0,0,0,0,0,0,0,,,0,0,0,,6,2,9,0,6,0,0
Chris Hogan,BUF,0,0,0,0,0,0,0,,,0,0,0,,3,1,2,0,2,0,0
Marquise Goodwin,BUF,0,0,0,0,0,0,0,,,1,-1,0,-1,3,2,51,1,40,0,0
