Quarter,Time,Tm,Detail,TEN,GNB
1.0,13:31,Titans,Chris Brown 37 yard rush (Gary Anderson kick),7,0
,9:45,Titans,Chris Brown 29 yard rush (Gary Anderson kick),14,0
,6:05,Titans,Gary Anderson 36 yard field goal,17,0
,1:13,Packers,Ryan Longwell 39 yard field goal,17,3
2.0,9:27,Titans,Troy Fleming 14 yard pass from Steve McNair (Gary Anderson kick),24,3
,6:27,Packers,Bubba Franks 1 yard pass from Brett Favre (Ryan Longwell kick),24,10
,1:46,Titans,Gary Anderson 38 yard field goal,27,10
,0:02,Packers,Ryan Longwell 53 yard field goal,27,13
3.0,8:00,Titans,Eddie Berlin 11 yard pass from Steve McNair (Gary Anderson kick),34,13
4.0,13:42,Titans,Derrick Mason 26 yard pass from Drew Bennett (Gary Anderson kick),41,13
,5:44,Packers,Bubba Franks 11 yard pass from Brett Favre (Ryan Longwell kick),41,20
,2:34,Titans,Antowain Smith 15 yard rush (Gary Anderson kick),48,20
,1:01,Packers,Javon Walker 1 yard pass from Craig Nall (Ryan Longwell kick),48,27
