Quarter,Time,Tm,Detail,MIA,NYJ
2.0,12:20,Jets,Jay Feely 23 yard field goal,0,3
,1:55,Dolphins,Dan Carpenter 48 yard field goal,3,3
3.0,10:24,Jets,Jay Feely 55 yard field goal,3,6
,10:10,Dolphins,Ted Ginn Jr. 100 yard kickoff return (Dan Carpenter kick),10,6
,7:32,Dolphins,Jason Taylor 48 yard defensive fumble return (Dan Carpenter kick),17,6
,3:26,Jets,Mark Sanchez 1 yard rush (Jay Feely kick),17,13
,3:09,Dolphins,Ted Ginn Jr. 101 yard kickoff return (Dan Carpenter kick),24,13
,1:35,Jets,Braylon Edwards 19 yard pass from Mark Sanchez (pass failed),24,19
4.0,8:48,Dolphins,Joey Haynos 5 yard pass from Chad Henne (pass failed),30,19
,5:52,Jets,Dustin Keller 16 yard pass from Mark Sanchez (pass failed),30,25
