Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Robbie Gould kicks off 60 yards, returned by Boston Scott for 29 yards (tackle by Jimmie Ward)",0.000,1.200
1,14:54,1,10,PHI 34,0,0,Jalen Hurts pass complete short right to A.J. Brown for 6 yards (tackle by Charvarius Ward),1.200,1.470
1,14:22,2,4,PHI 40,0,0,Miles Sanders up the middle for 6 yards (tackle by Dre Greenlaw and Fred Warner),1.470,1.990
1,13:55,1,10,PHI 46,0,0,Jalen Hurts pass complete short left to Dallas Goedert for 2 yards (tackle by Oren Burks and Azeez Al-Shaair),1.990,1.720
1,13:16,2,8,PHI 48,0,0,Jalen Hurts sacked by Arik Armstead for no gain,1.720,1.030
1,12:37,3,8,PHI 48,0,0,Jalen Hurts pass complete short middle to A.J. Brown for 10 yards (tackle by Charvarius Ward),1.030,2.790
1,12:01,1,10,SFO 42,0,0,Miles Sanders up the middle for no gain (tackle by Kevin Givens),2.790,2.240
1,11:19,2,10,SFO 42,0,0,Jalen Hurts pass incomplete short right intended for Dallas Goedert (defended by Talanoa Hufanga),2.240,1.550
1,11:11,3,10,SFO 42,0,0,Jalen Hurts pass complete short middle to Dallas Goedert for 7 yards (tackle by Talanoa Hufanga),1.550,0.990
1,10:29,4,3,SFO 35,0,0,Jalen Hurts pass complete deep left to DeVonta Smith for 29 yards (tackle by Jimmie Ward),0.990,5.830
1,10:01,1,6,SFO 6,0,0,Jalen Hurts pass incomplete short left intended for Kenneth Gainwell,5.830,4.950
1,9:51,2,6,SFO 6,0,6,"Miles Sanders left guard for 6 yards, touchdown",4.950,7.000
1,9:48,,,SFO 15,0,7,Jake Elliott kicks extra point good,0.000,0.000
1,9:48,,,PHI 35,0,7,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,9:48,1,10,SFO 25,0,7,Brock Purdy pass complete short middle to George Kittle for 9 yards (tackle by Kyzir White),0.610,1.280
1,9:11,2,1,SFO 34,0,7,Christian McCaffrey right guard for no gain (tackle by C.J. Gardner-Johnson and Kyzir White),1.280,0.560
1,8:45,3,1,SFO 34,0,7,Christian McCaffrey up the middle for 2 yards (tackle by Josh Sweat),0.560,1.330
1,8:09,1,10,SFO 36,0,7,"Brock Purdy pass complete short left to Brandon Aiyuk for 10 yards (tackle by James Bradberry). Penalty on Haason Reddick: Defensive Offside, 5 yards (declined)",1.330,1.990
1,7:39,1,10,SFO 46,0,7,Deebo Samuel right end for 4 yards (tackle by C.J. Gardner-Johnson and Darius Slay),1.990,1.990
