Quarter,Time,Tm,Detail,MIN,SEA
1.0,11:23,Seahawks,Shaun Alexander 2 yard rush (Rian Lindell kick),0,7
,7:24,Seahawks,Shaun Alexander 20 yard rush (Rian Lindell kick),0,14
,1:49,Vikings,Daunte Culpepper 12 yard rush (Gary Anderson kick),7,14
2.0,11:46,Seahawks,Rian Lindell 35 yard field goal,7,17
,3:13,Vikings,Gary Anderson 35 yard field goal,10,17
,2:53,Seahawks,Shaun Alexander 80 yard pass from Trent Dilfer (Rian Lindell kick),10,24
,1:57,Seahawks,Shaun Alexander 3 yard rush (Rian Lindell kick),10,31
,1:48,Seahawks,Shaun Alexander 14 yard rush (Rian Lindell kick),10,38
,1:06,Seahawks,Reggie Tongue 46 yard interception return (Rian Lindell kick),10,45
3.0,12:07,Vikings,Moe Williams 3 yard rush (Gary Anderson kick),17,45
4.0,8:56,Vikings,Moe Williams 5 yard rush,23,45
,2:48,Seahawks,Rian Lindell 21 yard field goal,23,48
