Quarter,Time,Tm,Detail,DAL,WAS
1.0,13:13,Redskins,Nick Rose 38 yard field goal,0,3
,10:32,Cowboys,Ezekiel Elliott 13 yard rush (Mike Nugent kick),7,3
,6:36,Redskins,Robert Kelley 1 yard rush (Nick Rose kick),7,10
2.0,10:04,Redskins,Nick Rose 42 yard field goal,7,13
,2:20,Cowboys,Ezekiel Elliott 1 yard rush (Mike Nugent kick),14,13
3.0,8:39,Cowboys,Mike Nugent 36 yard field goal,17,13
,6:23,Cowboys,Mike Nugent 48 yard field goal,20,13
,0:38,Cowboys,Mike Nugent 27 yard field goal,23,13
4.0,8:43,Cowboys,Mike Nugent 37 yard field goal,26,13
,4:35,Redskins,Josh Doctson 1 yard pass from Kirk Cousins (Nick Rose kick failed),26,19
,0:21,Cowboys,Byron Jones 21 yard interception return (Mike Nugent kick),33,19
