Quarter,Time,Tm,Detail,NYG,PHI
1.0,10:38,Giants,Saquon Barkley 13 yard pass from Eli Manning (pass failed),6,0
,3:13,Giants,Aldrick Rosas 25 yard field goal,9,0
2.0,9:34,Giants,Aldrick Rosas 51 yard field goal,12,0
,5:19,Eagles,Jake Elliott 42 yard field goal,12,3
,4:06,Giants,Saquon Barkley 51 yard rush (Aldrick Rosas kick),19,3
,1:04,Eagles,Zach Ertz 15 yard pass from Carson Wentz (Corey Clement run),19,11
3.0,6:49,Eagles,Jake Elliott 28 yard field goal,19,14
4.0,10:11,Eagles,Josh Adams 1 yard rush (Josh Adams run),19,22
,5:49,Giants,Aldrick Rosas 29 yard field goal,22,22
,0:22,Eagles,Jake Elliott 43 yard field goal,22,25
