Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Aaron Rodgers,GNB,20,34,199,2,0,1,0,32,95.1,4,16,1,8,0,0,0,0,,0,0
Eddie Lacy,GNB,0,0,0,0,0,0,0,,,14,61,0,28,2,1,17,0,17,0,0
Randall Cobb,GNB,0,0,0,0,0,0,0,,,3,11,0,6,8,6,57,0,32,0,0
James Starks,GNB,0,0,0,0,0,0,0,,,4,7,0,4,1,1,6,0,6,0,0
Davante Adams,GNB,0,0,0,0,0,0,0,,,0,0,0,,7,3,50,1,29,0,0
Jordy Nelson,GNB,0,0,0,0,0,0,0,,,0,0,0,,9,6,32,1,8,0,0
Richard Rodgers,GNB,0,0,0,0,0,0,0,,,0,0,0,,3,1,22,0,22,0,0
Jared Abbrederis,GNB,0,0,0,0,0,0,0,,,0,0,0,,1,1,8,0,8,0,0
Jared Cook,GNB,0,0,0,0,0,0,0,,,0,0,0,,2,1,7,0,7,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Blake Bortles,JAX,24,39,320,1,1,3,20,38,85.4,2,2,0,3,0,0,0,0,,0,0
T.J. Yeldon,JAX,0,0,0,0,0,0,0,,,21,39,1,7,6,4,30,0,11,0,0
Denard Robinson,JAX,0,0,0,0,0,0,0,,,3,7,0,3,0,0,0,0,,0,0
Allen Hurns,JAX,0,0,0,0,0,0,0,,,0,0,0,,5,4,75,0,38,0,0
Allen Robinson,JAX,0,0,0,0,0,0,0,,,0,0,0,,15,6,72,0,22,1,0
Julius Thomas,JAX,0,0,0,0,0,0,0,,,0,0,0,,5,5,64,1,22,0,0
Marcedes Lewis,JAX,0,0,0,0,0,0,0,,,0,0,0,,2,2,48,0,37,0,0
Marqise Lee,JAX,0,0,0,0,0,0,0,,,0,0,0,,4,2,22,0,12,0,0
Rashad Greene,JAX,0,0,0,0,0,0,0,,,0,0,0,,2,1,9,0,9,0,0
