Quarter,Time,Tm,Detail,HOU,MIA
1.0,10:57,Dolphins,Rishard Matthews 53 yard pass from Ryan Tannehill (Andrew Franks kick),0,7
,6:45,Dolphins,Jarvis Landry 50 yard pass from Ryan Tannehill (Andrew Franks kick),0,14
,3:03,Dolphins,Jarvis Landry 10 yard pass from Ryan Tannehill (Andrew Franks kick),0,21
2.0,14:10,Dolphins,Lamar Miller 54 yard pass from Ryan Tannehill (Andrew Franks kick),0,28
,13:56,Dolphins,Reshad Jones 23 yard interception return (Andrew Franks kick),0,35
,2:47,Dolphins,Lamar Miller 85 yard rush (Andrew Franks kick failed),0,41
3.0,8:13,Texans,Arian Foster 7 yard pass from Brian Hoyer (Nick Novak kick failed),6,41
,1:45,Texans,Arian Foster 2 yard rush (Nick Novak kick),13,41
4.0,11:27,Texans,Nate Washington 27 yard pass from Brian Hoyer (Nick Novak kick),20,41
,7:41,Dolphins,Andrew Franks 53 yard field goal,20,44
,4:00,Texans,Nate Washington 5 yard pass from Brian Hoyer (pass failed),26,44
