Quarter,Time,Tm,Detail,NYJ,MIA
1.0,6:13,Dolphins,Caleb Sturgis 37 yard field goal,0,3
,3:11,Jets,Chris Owusu 23 yard rush (Nick Folk kick),7,3
2.0,10:44,Dolphins,Daniel Thomas 1 yard rush (Caleb Sturgis kick),7,10
,6:44,Jets,Chris Ivory 8 yard pass from Geno Smith (Nick Folk kick),14,10
,0:43,Dolphins,Charles Clay 23 yard pass from Ryan Tannehill (Caleb Sturgis kick),14,17
3.0,12:51,Dolphins,Lamar Miller 97 yard rush (Caleb Sturgis kick),14,24
,11:35,Jets,Eric Decker 74 yard pass from Geno Smith (Nick Folk kick),21,24
,6:35,Jets,Nick Folk 26 yard field goal,24,24
4.0,14:12,Jets,Nick Folk 23 yard field goal,27,24
,3:22,Jets,Jeff Cumberland 23 yard pass from Geno Smith (Nick Folk kick),34,24
,0:31,Jets,Nick Folk 39 yard field goal,37,24
