Quarter,Time,Tm,Detail,JAX,SFO
1.0,10:18,49ers,Jimmy Garoppolo 1 yard rush (Robbie Gould kick),0,7
,5:42,49ers,Robbie Gould 27 yard field goal,0,10
2.0,11:03,49ers,Dontae Johnson 50 yard interception return (Robbie Gould kick failed),0,16
,11:03,Jaguars,Aaron Colvin defensive extra point return,2,16
,5:10,Jaguars,Leonard Fournette 1 yard rush (Josh Lambo kick),9,16
,0:10,Jaguars,Jaelen Strong 5 yard pass from Blake Bortles (Josh Lambo kick),16,16
3.0,10:57,Jaguars,Josh Lambo 45 yard field goal,19,16
,6:46,49ers,George Kittle 8 yard pass from Jimmy Garoppolo (Robbie Gould kick),19,23
4.0,10:39,49ers,Trent Taylor 5 yard pass from Jimmy Garoppolo (Robbie Gould kick),19,30
,8:59,49ers,Carlos Hyde 6 yard rush (Robbie Gould kick),19,37
,2:17,Jaguars,T.J. Yeldon 1 yard rush (Ben Koyack pass from Blake Bortles),27,37
,1:50,Jaguars,James O'Shaughnessy 11 yard pass from Blake Bortles (Josh Lambo kick failed),33,37
,1:24,49ers,Matt Breida 30 yard rush (Robbie Gould kick),33,44
