Quarter,Time,Tm,Detail,ARI,SFO
1.0,13:12,49ers,Jose Cortez 45 yard field goal,0,3
,7:19,49ers,Terrell Owens 21 yard pass from Jeff Garcia (Jose Cortez kick),0,10
,4:13,49ers,Tai Streets 47 yard pass from Jeff Garcia (Jose Cortez kick),0,17
2.0,14:05,49ers,Kevan Barlow 5 yard rush (Jose Cortez kick),0,24
,9:22,Cardinals,Marcel Shipp 7 yard rush (Bill Gramatica kick),7,24
,0:12,49ers,Terrell Owens 61 yard pass from Jeff Garcia (Jose Cortez kick),7,31
3.0,11:18,Cardinals,Jake Plummer 34 yard rush (Bill Gramatica kick),14,31
,3:27,Cardinals,Marcel Shipp 11 yard rush (Bill Gramatica kick),21,31
4.0,14:55,49ers,Kevan Barlow 9 yard pass from Jeff Garcia (Jose Cortez kick),21,38
,8:23,Cardinals,Thomas Jones 7 yard rush (Bill Gramatica kick),28,38
