Quarter,Time,Tm,Detail,SEA,CAR
1.0,2:11,Panthers,Graham Gano 26 yard field goal,0,3
2.0,12:41,Seahawks,Sebastian Janikowski 33 yard field goal,3,3
,6:15,Panthers,Curtis Samuel 7 yard pass from Cam Newton (Graham Gano kick),3,10
,2:24,Seahawks,Chris Carson 1 yard rush (Sebastian Janikowski kick),10,10
,0:00,Panthers,Graham Gano 25 yard field goal,10,13
3.0,6:45,Seahawks,Tyler Lockett 12 yard pass from Russell Wilson (Sebastian Janikowski kick),17,13
,1:41,Panthers,Christian McCaffrey 1 yard rush (Graham Gano kick),17,20
4.0,9:27,Seahawks,Sebastian Janikowski 30 yard field goal,20,20
,6:57,Panthers,Christian McCaffrey 2 yard pass from Cam Newton (Graham Gano kick),20,27
,3:26,Seahawks,David Moore 35 yard pass from Russell Wilson (Sebastian Janikowski kick),27,27
,0:00,Seahawks,Sebastian Janikowski 31 yard field goal,30,27
