Quarter,Time,Tm,Detail,SFO,NOR
1.0,8:04,49ers,Todd Peterson 30 yard field goal,3,0
,6:55,Saints,Joe Horn 8 yard pass from Aaron Brooks (John Carney kick),3,7
,2:48,Saints,John Carney 32 yard field goal,3,10
2.0,11:46,49ers,Kevan Barlow 10 yard rush (Todd Peterson kick),10,10
,9:42,Saints,Jerome Pathon 37 yard pass from Aaron Brooks (John Carney kick),10,17
,3:35,Saints,John Carney 36 yard field goal,10,20
,0:28,49ers,Kevan Barlow 1 yard rush (Todd Peterson kick),17,20
3.0,11:18,Saints,John Carney 37 yard field goal,17,23
,6:27,49ers,Todd Peterson 33 yard field goal,20,23
4.0,7:07,49ers,Jamal Robertson 1 yard rush (Todd Peterson kick),27,23
,1:01,Saints,Donte' Stallworth 16 yard pass from Aaron Brooks (John Carney kick),27,30
