Quarter,Time,Down,ToGo,Location,ATL,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Bradley Pinion kicks off 61 yards, returned by Justice Hill for 24 yards (tackle by KhaDarel Hodge and Mike Ford)",0.000,0.810
1,14:54,1,10,BAL 28,0,0,J.K. Dobbins right end for 11 yards (tackle by Rashaan Evans),0.810,1.530
1,14:19,1,10,BAL 39,0,0,Tyler Huntley pass incomplete short left intended for Mark Andrews,1.530,0.990
1,14:16,2,10,BAL 39,0,0,J.K. Dobbins left guard for 4 yards (tackle by Grady Jarrett),0.990,0.830
1,13:41,3,6,BAL 43,0,0,Tyler Huntley pass complete short left to Justice Hill for 4 yards (tackle by Mykal Walker),0.830,-0.260
1,13:10,4,2,BAL 47,0,0,Jordan Stout punts 41 yards out of bounds,-0.260,0.350
1,13:02,1,10,ATL 12,0,0,Desmond Ridder pass complete short middle to Olamide Zaccheaus for 8 yards (tackle by Justin Madubuike),-0.350,0.290
1,12:24,2,2,ATL 20,0,0,Cordarrelle Patterson right end for no gain (tackle by Broderick Washington and Patrick Queen),0.290,-0.480
1,11:43,3,2,ATL 20,0,0,"Desmond Ridder aborted snap (tackle by Justin Madubuike), recovered by Desmond Ridder at ATL-21",-0.480,-1.960
1,10:52,4,1,ATL 21,0,0,"Bradley Pinion punts 38 yards, returned by James Proche for 9 yards (tackle by Troy Andersen)",-1.960,-2.260
1,10:43,1,10,BAL 50,0,0,Tyler Huntley pass complete deep right to Sammy Watkins for 40 yards (tackle by Darren Hall),2.260,4.910
1,10:11,1,10,ATL 10,0,0,Tyler Huntley pass complete short right to Mark Andrews for -3 yards (tackle by AJ Terrell and Richie Grant),4.910,3.720
1,9:33,2,13,ATL 13,0,0,Tyler Huntley left tackle for 3 yards (tackle by Lorenzo Carter),3.720,3.130
1,8:55,3,10,ATL 10,0,0,Tyler Huntley scrambles right guard for 7 yards (tackle by Jalen Dalton),3.130,3.040
1,8:05,4,3,ATL 3,0,3,Justin Tucker 21 yard field goal good,3.040,3.000
1,8:02,,,BAL 35,0,3,"Justin Tucker kicks off 58 yards, returned by Avery Williams for 23 yards (tackle by Damarion Williams)",0.000,0.940
1,7:57,1,10,ATL 30,0,3,Desmond Ridder sacked by Justin Madubuike for no gain,0.940,0.390
1,7:22,2,10,ATL 30,0,3,Desmond Ridder pass incomplete short left intended for Anthony Firkser (defended by Kyle Hamilton),0.390,-0.300
1,7:15,3,10,ATL 30,0,3,Desmond Ridder sacked by and Brandon Stephens for -6 yards and Patrick Queen for -6 yards,-0.300,-1.770
1,6:38,4,16,ATL 24,0,3,"Bradley Pinion punts 33 yards, fair catch by James Proche at BAL-43",-1.770,-1.800
1,6:32,1,10,BAL 43,0,3,Gus Edwards left tackle for 6 yards (tackle by Lorenzo Carter and Richie Grant),1.800,2.060
1,5:57,2,4,BAL 49,0,3,Gus Edwards left guard for 11 yards (tackle by Jaylinn Hawkins),2.060,2.920
1,5:19,1,10,ATL 40,0,3,Gus Edwards left end for -1 yards (tackle by Jalen Dalton),2.920,2.240
1,4:40,2,11,ATL 41,0,3,Tyler Huntley pass incomplete short middle intended for Josh Oliver,2.240,1.550
1,4:36,3,11,ATL 41,0,3,Tyler Huntley pass complete short right to Isaiah Likely for 4 yards (tackle by Richie Grant),1.550,0.790
1,3:48,4,7,ATL 37,0,3,Justin Tucker 55 yard field goal no good blocked by Adetokunbo Ogundeji,0.790,-1.600
1,3:43,1,10,ATL 40,0,3,Cordarrelle Patterson right end for 3 yards (tackle by Travis Jones and Brent Urban),1.600,1.460
1,3:08,2,7,ATL 43,0,3,Tyler Allgeier right end for 8 yards (tackle by Chuck Clark),1.460,2.320
1,2:25,1,10,BAL 49,0,3,Tyler Allgeier right tackle for no gain (tackle by Roquan Smith and Tyus Bowser),2.320,1.780
1,1:42,2,10,BAL 49,0,3,Desmond Ridder pass incomplete short right intended for Drake London,1.780,1.090
1,1:37,3,10,BAL 49,0,3,Desmond Ridder scrambles left end for 5 yards (tackle by Marlon Humphrey),1.090,0.330
1,0:49,4,5,BAL 44,0,3,Desmond Ridder pass incomplete deep right intended for Damiere Byrd,0.330,-1.860
1,0:45,1,10,BAL 44,0,3,J.K. Dobbins right tackle for 5 yards (tackle by Jalen Dalton),1.860,1.990
Quarter,Time,Down,ToGo,Location,ATL,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,BAL 49,0,3,Tyler Huntley pass incomplete deep middle intended for Josh Oliver,1.990,1.290
2,14:54,3,5,BAL 49,0,3,Tyler Huntley pass complete short right to Mark Andrews for 36 yards (tackle by Richie Grant),1.290,4.580
2,14:15,1,10,ATL 15,0,3,Tyler Huntley left end for no gain (tackle by Lorenzo Carter and Grady Jarrett),4.580,3.950
2,13:35,2,10,ATL 15,0,3,Tyler Huntley pass complete short right to Josh Oliver for 6 yards (tackle by Rashaan Evans),3.950,4.220
