Quarter,Time,Tm,Detail,SFO,ARI
1.0,11:45,49ers,Vernon Davis 31 yard pass from Alex Smith (Joe Nedney kick),7,0
,7:52,Cardinals,Troy Walters 2 yard pass from Kurt Warner (Neil Rackers kick),7,7
,5:51,Cardinals,Edgerrin James 1 yard rush (Neil Rackers kick),7,14
,0:59,Cardinals,Anquan Boldin 6 yard pass from Kurt Warner (Neil Rackers kick),7,21
2.0,13:34,49ers,Frank Gore 4 yard rush (Joe Nedney kick),14,21
,4:42,Cardinals,Neil Rackers 36 yard field goal,14,24
3.0,7:41,49ers,Frank Gore 2 yard rush (Joe Nedney kick),21,24
,2:19,Cardinals,Adam Bergen 7 yard pass from Kurt Warner (Neil Rackers kick),21,31
4.0,8:52,49ers,Joe Nedney 22 yard field goal,24,31
,1:50,Cardinals,Neil Rackers 30 yard field goal,24,34
,0:32,49ers,Joe Nedney 44 yard field goal,27,34
