Quarter,Time,Tm,Detail,CAR,ATL
1.0,10:51,Panthers,Ricky Proehl 12 yard pass from Jake Delhomme (John Kasay kick),7,0
,2:32,Falcons,Todd Peterson 29 yard field goal,7,3
,1:28,Panthers,DeShaun Foster 70 yard rush (John Kasay kick),14,3
2.0,3:44,Panthers,John Kasay 19 yard field goal,17,3
,1:54,Panthers,Steve Smith Sr. 42 yard pass from Jake Delhomme (John Kasay kick),24,3
,0:00,Panthers,John Kasay 41 yard field goal,27,3
3.0,7:16,Panthers,Jamal Robertson 1 yard rush (John Kasay kick),34,3
,0:46,Panthers,John Kasay 34 yard field goal,37,3
4.0,4:19,Panthers,Ricky Manning 8 yard defensive fumble return (John Kasay kick),44,3
,1:18,Falcons,Roddy White 14 yard pass from Matt Schaub (Brian Finneran pass from Matt Schaub),44,11
