Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Amon-Ra St. Brown,DET,19,13,102,0,5,76,5.8,26,2.0,6.4,0,,2,10.5,0,81.5
Jahmyr Gibbs,DET,10,9,58,0,3,1,0.1,57,6.3,0.4,0,,0,0.0,0,90.8
Sam LaPorta,DET,7,6,52,0,2,39,6.5,13,2.2,7.3,1,6.0,0,0.0,0,97.6
Josh Reynolds,DET,3,2,43,0,2,35,17.5,8,4.0,13.7,0,,0,0.0,0,109.7
Kalif Raymond,DET,2,2,20,0,1,-5,-2.5,25,12.5,-2.5,0,,0,0.0,0,108.3
Craig Reynolds,DET,1,1,9,0,0,-3,-3.0,12,12.0,-3.0,0,,0,0.0,0,104.2
Jameson Williams,DET,6,0,0,0,,0,,0,,23.2,0,,1,16.7,1,0.0
Antoine Green,DET,1,0,0,0,,0,,0,,10.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Odell Beckham Jr.,BAL,7,5,49,0,3,42,8.4,7,1.4,11.9,0,,0,0.0,0,90.8
Mark Andrews,BAL,6,4,63,2,4,30,7.5,33,8.3,6.5,0,,0,0.0,0,141.0
Zay Flowers,BAL,6,4,75,0,3,44,11.0,31,7.8,8.8,1,4.0,1,16.7,0,109.7
Patrick Ricard,BAL,2,2,31,0,1,9,4.5,22,11.0,4.5,0,,0,0.0,0,118.7
Rashod Bateman,BAL,3,2,36,0,2,26,13.0,10,5.0,17.3,0,,0,0.0,0,107.6
Keaton Mitchell,BAL,1,1,9,0,,-5,-5.0,14,14.0,-5.0,0,,0,0.0,0,104.2
Justice Hill,BAL,1,1,2,0,0,0,0.0,2,2.0,0.0,0,,0,0.0,0,79.2
Gus Edwards,BAL,1,1,80,0,1,4,4.0,76,76.0,4.0,0,,0,0.0,0,118.7
Nelson Agholor,BAL,1,1,12,1,1,12,12.0,0,0.0,12.0,0,,0,0.0,0,156.2
