Quarter,Time,Tm,Detail,NYJ,MIA
1.0,7:31,Dolphins,Ronnie Brown 1 yard rush (Dan Carpenter kick),0,7
,3:51,Jets,Braylon Edwards 3 yard pass from Mark Sanchez (Jay Feely kick),7,7
,0:57,Dolphins,Dan Carpenter 35 yard field goal,7,10
2.0,2:05,Jets,Jay Feely 40 yard field goal,10,10
,0:04,Jets,Jay Feely 43 yard field goal,13,10
4.0,14:17,Dolphins,Anthony Fasano 2 yard pass from Chad Henne (Dan Carpenter kick),13,17
,12:17,Jets,Thomas Jones 1 yard rush (Jay Feely kick),20,17
,10:10,Dolphins,Ted Ginn Jr. 53 yard pass from Chad Henne (Dan Carpenter kick),20,24
,5:12,Jets,Thomas Jones 3 yard rush (Jay Feely kick),27,24
,0:06,Dolphins,Ronnie Brown 2 yard rush (Dan Carpenter kick),27,31
