Quarter,Time,Tm,Detail,NWE,PIT
1.0,9:48,Patriots,Rob Gronkowski 19 yard pass from Tom Brady (Shayne Graham kick),7,0
,1:03,Patriots,Shayne Graham 31 yard field goal,10,0
2.0,5:08,Steelers,Jeff Reed 22 yard field goal,10,3
3.0,9:48,Patriots,Rob Gronkowski 9 yard pass from Tom Brady (Shayne Graham kick),17,3
,0:22,Patriots,Tom Brady 3 yard rush (Shayne Graham kick failed),23,3
4.0,12:11,Steelers,Emmanuel Sanders 6 yard pass from Ben Roethlisberger (Jeff Reed kick),23,10
,8:32,Patriots,James Sanders 32 yard interception return (run failed),29,10
,6:44,Steelers,Mike Wallace 15 yard pass from Ben Roethlisberger (Mewelde Moore run),29,18
,4:23,Patriots,Rob Gronkowski 25 yard pass from Tom Brady (Shayne Graham kick),36,18
,2:59,Steelers,Mike Wallace 33 yard pass from Ben Roethlisberger (Mewelde Moore run),36,26
,1:53,Patriots,Shayne Graham 36 yard field goal,39,26
