Quarter,Time,Tm,Detail,JAX,WAS
1,10:37,Jaguars,Josh Scobee 46 yard field goal,3,0
,8:25,Redskins,Santana Moss 55 yard pass from Mark Brunell (John Hall kick),3,7
,4:33,Jaguars,Reggie Williams 33 yard pass from Byron Leftwich (Josh Scobee kick),10,7
2,12:59,Redskins,John Hall 44 yard field goal,10,10
,11:20,Jaguars,Maurice Jones-Drew 51 yard pass from Byron Leftwich (Josh Scobee kick),17,10
,0:06,Redskins,John Hall 37 yard field goal,17,13
3,2:49,Redskins,Clinton Portis 1 yard rush (John Hall kick),17,20
4,12:24,Redskins,Santana Moss 8 yard pass from Mark Brunell (John Hall kick),17,27
,10:20,Jaguars,Reggie Williams 21 yard pass from Byron Leftwich (Josh Scobee kick),24,27
,6:40,Jaguars,Josh Scobee 43 yard field goal,27,27
,1:55,Redskins,John Hall 37 yard field goal,27,30
,0:06,Jaguars,Josh Scobee 41 yard field goal,30,30
OT,13:11,Redskins,Santana Moss 68 yard pass from Mark Brunell,30,36
