Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Rashard Higgins,CLE,7,4,63,0,3,58,14.5,5,1.3,12.6,0,,0,0.0,0,87.2
Odell Beckham Jr.,CLE,7,2,27,0,1,16,8.0,11,5.5,20.6,0,,0,0.0,0,43.2
Demetric Felton,CLE,2,2,12,0,1,-3,-1.5,15,7.5,-1.5,0,,0,0.0,0,91.7
Kareem Hunt,CLE,4,2,17,0,2,-4,-2.0,21,10.5,1.5,0,,0,0.0,0,61.5
David Njoku,CLE,2,2,17,0,1,0,0.0,17,8.5,0.0,0,,0,0.0,0,102.1
Harrison Bryant,CLE,2,1,3,0,,3,3.0,0,0.0,14.5,0,,0,0.0,0,56.2
Nick Chubb,CLE,1,1,5,0,0,4,4.0,1,1.0,4.0,0,,0,0.0,0,87.5
Austin Hooper,CLE,5,1,11,0,1,-3,-3.0,14,14.0,3.0,0,,0,0.0,0,39.6
Anthony Schwartz,CLE,1,0,0,0,,0,,0,,37.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Justin Jefferson,MIN,7,6,84,1,5,63,10.5,21,3.5,13.6,0,,0,0.0,0,156.2
Tyler Conklin,MIN,6,4,18,0,1,3,0.8,15,3.8,0.5,0,,1,16.7,0,70.1
K.J. Osborn,MIN,7,3,26,0,1,26,8.7,0,0.0,10.0,0,,0,0.0,0,53.3
Adam Thielen,MIN,8,3,46,0,2,38,12.7,8,2.7,15.5,0,,0,0.0,1,17.7
Dalvin Cook,MIN,6,2,10,0,0,-3,-1.5,13,6.5,-1.8,1,2.0,0,0.0,0,42.4
Ameer Abdullah,MIN,1,1,2,0,,-4,-4.0,6,6.0,-4.0,0,,0,0.0,0,79.2
Dede Westbrook,MIN,1,1,17,0,1,16,16.0,1,1.0,16.0,0,,0,0.0,0,118.7
