Quarter,Time,Tm,Detail,BAL,NWE
1.0,12:18,Ravens,Kamar Aiken 19 yard pass from Joe Flacco (Justin Tucker kick),7,0
,4:44,Ravens,Steve Smith Sr. 9 yard pass from Joe Flacco (Justin Tucker kick),14,0
,0:48,Patriots,Tom Brady 4 yard rush (Stephen Gostkowski kick),14,7
2.0,3:37,Patriots,Danny Amendola 15 yard pass from Tom Brady (Stephen Gostkowski kick),14,14
,0:10,Ravens,Owen Daniels 11 yard pass from Joe Flacco (Justin Tucker kick),21,14
3.0,10:22,Ravens,Justin Forsett 16 yard pass from Joe Flacco (Justin Tucker kick),28,14
,6:48,Patriots,Rob Gronkowski 5 yard pass from Tom Brady (Stephen Gostkowski kick),28,21
,4:20,Patriots,Danny Amendola 51 yard pass from Julian Edelman (Stephen Gostkowski kick),28,28
4.0,10:17,Ravens,Justin Tucker 25 yard field goal,31,28
,5:13,Patriots,Brandon LaFell 23 yard pass from Tom Brady (Stephen Gostkowski kick),31,35
