Quarter,Time,Down,ToGo,Location,NOR,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Robbie Gould kicks off 63 yards, returned by Rashid Shaheed for 26 yards (tackle by Ambry Thomas)",0.000,0.810
1,14:55,1,10,NOR 28,0,0,Andy Dalton pass complete short left to Taysom Hill for 7 yards (tackle by Charvarius Ward and Azeez Al-Shaair),0.810,1.210
1,14:20,2,3,NOR 35,0,0,Alvin Kamara right guard for 2 yards (tackle by Dre Greenlaw and Fred Warner),1.210,0.760
1,13:38,3,1,NOR 37,0,0,Mark Ingram right guard for 3 yards (tackle by Charvarius Ward and Samson Ebukam),0.760,1.600
1,13:02,1,10,NOR 40,0,0,"Alvin Kamara left tackle for 1 yard. Alvin Kamara fumbles (forced by Fred Warner), recovered by Samson Ebukam at NO-43 (tackle by Fred Warner)",1.600,-2.720
1,12:55,1,10,NOR 43,0,0,Jimmy Garoppolo pass complete short right to Kyle Juszczyk for 2 yards (tackle by Marcus Maye),2.720,2.450
1,12:16,2,8,NOR 41,0,0,Christian McCaffrey right end for 2 yards (tackle by Kaden Elliss),2.450,2.010
1,11:36,3,6,NOR 39,0,0,Jimmy Garoppolo pass complete short right to Deebo Samuel for 20 yards (tackle by P.J. Williams and Paulson Adebo),2.010,4.310
1,10:56,1,10,NOR 19,0,0,Deebo Samuel up the middle for -3 yards (tackle by Cameron Jordan),4.310,3.360
1,10:14,2,13,NOR 22,0,0,Jimmy Garoppolo pass incomplete short middle intended for Jauan Jennings (defended by Demario Davis),3.360,2.680
1,10:08,3,13,NOR 22,0,0,Jimmy Garoppolo pass complete short right to Ray-Ray McCloud for 12 yards (tackle by Chris Harris),2.680,2.910
1,9:37,4,1,NOR 10,0,0,Christian McCaffrey left guard for 1 yard (tackle by Demario Davis and Marcus Davenport),2.910,5.140
1,8:54,1,9,NOR 9,0,0,Christian McCaffrey right guard for 4 yards (tackle by Shy Tuttle and Marcus Maye),5.140,5.150
1,8:14,2,5,NOR 5,0,0,Jimmy Garoppolo pass incomplete short middle intended for Deebo Samuel,5.150,4.260
1,8:09,3,5,NOR 5,0,0,Jimmy Garoppolo pass incomplete intended for George Kittle,4.260,3.010
1,8:05,4,5,NOR 5,0,3,Robbie Gould 24 yard field goal good,3.010,3.000
1,8:01,,,SFO 35,0,3,"Robbie Gould kicks off 67 yards, returned by Rashid Shaheed for 21 yards (tackle by Jordan Mason and Demetrius Flannigan-Fowles)",0.000,0.150
1,7:55,1,10,NOR 19,0,3,Andy Dalton pass complete short middle to Adam Trautman for 17 yards (tackle by Azeez Al-Shaair),0.150,1.330
1,7:19,1,10,NOR 36,0,3,"Penalty on Taysom Hill: False Start, 5 yards (accepted) (no play)",1.330,1.000
1,7:04,1,15,NOR 31,0,3,Taysom Hill right tackle for 4 yards (tackle by Tashaun Gipson and Kevin Givens),1.000,0.660
1,6:27,2,11,NOR 35,0,3,Andy Dalton pass incomplete short right intended for Juwan Johnson (defended by Dre Greenlaw),0.660,-0.030
1,6:21,3,11,NOR 35,0,3,Andy Dalton scrambles left end for 10 yards (tackle by Fred Warner),-0.030,-0.390
1,5:53,4,1,NOR 45,0,3,"Blake Gillikin punts 45 yards, returned by Ray-Ray McCloud for 7 yards (tackle by Isaac Yiadom and Kevin White)",-0.390,0.060
1,5:43,1,10,SFO 17,0,3,Jimmy Garoppolo pass complete short right to George Kittle for 14 yards (tackle by Tyrann Mathieu),-0.060,1.000
1,5:01,1,10,SFO 31,0,3,Deebo Samuel left end for 3 yards (tackle by Kaden Elliss),1.000,0.870
1,4:23,2,7,SFO 34,0,3,Jimmy Garoppolo pass complete short middle to Christian McCaffrey for 9 yards (tackle by Kaden Elliss and Demario Davis),0.870,1.800
1,3:42,1,10,SFO 43,0,3,Christian McCaffrey up the middle for -1 yards (tackle by Zack Baun and Demario Davis),1.800,1.120
1,3:00,2,11,SFO 42,0,3,Jimmy Garoppolo pass complete short left to George Kittle for 3 yards (tackle by Demario Davis),1.120,0.830
1,2:17,3,8,SFO 45,0,3,Jimmy Garoppolo pass incomplete deep left intended for Christian McCaffrey,0.830,-0.390
1,2:12,4,8,SFO 45,0,3,"Mitch Wishnowsky punts 44 yards, fair catch by Rashid Shaheed at NO-11",-0.390,0.370
1,2:05,1,10,NOR 11,0,3,Alvin Kamara up the middle for 4 yards (tackle by Talanoa Hufanga),-0.370,-0.430
1,1:24,2,6,NOR 15,0,3,Andy Dalton pass complete deep middle to Rashid Shaheed for 35 yards (tackle by Deommodore Lenoir),-0.430,2.260
