Quarter,Time,Tm,Detail,ARI,LAR
1.0,10:34,Cardinals,Chandler Catanzaro 32 yard field goal,3,0
2.0,12:25,Cardinals,Chandler Catanzaro 34 yard field goal,6,0
,7:42,Cardinals,Jeremy Ross 4 yard pass from Carson Palmer (Chandler Catanzaro kick),13,0
,2:34,Rams,Greg Zuerlein 37 yard field goal,13,3
,0:48,Rams,Greg Zuerlein 36 yard field goal,13,6
,0:00,Cardinals,Chandler Catanzaro 47 yard field goal,16,6
3.0,13:11,Cardinals,Darren Fells 37 yard pass from Carson Palmer (Chandler Catanzaro kick),23,6
,8:17,Cardinals,Kerwynn Williams 1 yard rush (Chandler Catanzaro kick),30,6
4.0,11:35,Cardinals,Larry Fitzgerald 5 yard pass from Carson Palmer (Chandler Catanzaro kick),37,6
,8:06,Cardinals,Justin Bethel 66 yard interception return (Chandler Catanzaro kick),44,6
