Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Amon-Ra St. Brown,DET,11,9,91,1,5,60,6.7,31,3.4,8.2,0,,0,0.0,0,131.4
Kalif Raymond,DET,5,3,12,0,1,7,2.3,5,1.7,7.2,0,,0,0.0,1,25.0
Craig Reynolds,DET,4,3,22,0,1,-7,-2.3,29,9.7,-0.8,2,1.5,0,0.0,0,87.5
Brock Wright,DET,3,3,4,0,1,0,0.0,4,1.3,0.0,0,,0,0.0,0,79.2
Jason Cabinda,DET,2,2,6,0,,5,2.5,1,0.5,2.5,0,,0,0.0,0,79.2
Tom Kennedy,DET,2,2,16,0,1,14,7.0,2,1.0,7.0,0,,0,0.0,0,100.0
Josh Reynolds,DET,7,2,36,0,2,23,11.5,13,6.5,12.6,0,,0,0.0,0,48.5
KhaDarel Hodge,DET,1,1,21,0,1,8,8.0,13,13.0,8.0,0,,0,0.0,0,118.7
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Kyle Pitts,ATL,6,6,102,0,4,77,12.8,25,4.2,12.8,0,,0,0.0,0,118.7
Russell Gage,ATL,5,4,39,0,2,30,7.5,9,2.3,8.0,0,,1,20.0,0,99.2
Hayden Hurst,ATL,2,2,21,1,1,17,8.5,4,2.0,8.5,0,,0,0.0,0,150.0
Olamide Zaccheaus,ATL,4,2,32,0,2,13,6.5,19,9.5,6.5,0,,0,0.0,0,77.1
Christian Blake,ATL,1,1,5,0,,4,4.0,1,1.0,4.0,0,,0,0.0,0,87.5
Mike Davis,ATL,1,1,7,0,0,-4,-4.0,11,11.0,-4.0,1,1.0,0,0.0,0,95.8
Marvin Hall,ATL,1,1,10,0,1,5,5.0,5,5.0,5.0,0,,0,0.0,0,108.3
Cordarrelle Patterson,ATL,2,1,-1,0,0,-3,-3.0,2,2.0,0.0,0,,0,0.0,0,56.2
