Quarter,Time,Tm,Detail,NYG,DAL
1.0,8:59,Giants,Lawrence Tynes 30 yard field goal,3,0
,4:11,Cowboys,Marion Barber III 2 yard rush (Nick Folk kick),3,7
,2:46,Giants,Bruce Johnson 34 yard interception return (Lawrence Tynes kick),10,7
2.0,13:31,Giants,Lawrence Tynes 28 yard field goal,13,7
,9:04,Cowboys,Jason Witten 1 yard pass from Tony Romo (Nick Folk kick),13,14
,0:46,Giants,Mario Manningham 22 yard pass from Eli Manning (Lawrence Tynes kick),20,14
,0:01,Cowboys,Nick Folk 47 yard field goal,20,17
3.0,3:32,Cowboys,Tony Romo 3 yard rush (Nick Folk kick),20,24
4.0,13:24,Giants,Steve Smith 22 yard pass from Eli Manning (Lawrence Tynes kick),27,24
,7:37,Giants,Lawrence Tynes 36 yard field goal,30,24
,3:40,Cowboys,Felix Jones 7 yard rush (Nick Folk kick),30,31
,0:00,Giants,Lawrence Tynes 37 yard field goal,33,31
