Quarter,Time,Tm,Detail,IND,HOU
1.0,11:13,Colts,Adam Vinatieri 27 yard field goal,3,0
,10:40,Colts,Trent Richardson 5 yard rush (Adam Vinatieri kick),10,0
,7:00,Colts,Ahmad Bradshaw 5 yard pass from Andrew Luck (Adam Vinatieri kick),17,0
,0:00,Colts,Coby Fleener 4 yard pass from Andrew Luck (Adam Vinatieri kick),24,0
2.0,9:43,Texans,Andre Johnson 4 yard pass from Ryan Fitzpatrick (Randy Bullock kick),24,7
,8:22,Texans,Arian Foster 12 yard rush (Randy Bullock kick),24,14
,1:05,Colts,Adam Vinatieri 34 yard field goal,27,14
3.0,5:59,Texans,Arian Foster 2 yard rush (Randy Bullock kick),27,21
,2:52,Colts,T.Y. Hilton 33 yard pass from Andrew Luck (run failed),33,21
4.0,10:36,Texans,J.J. Watt 45 yard defensive fumble return (Randy Bullock kick),33,28
