Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Julio Jones,TEN,9,5,58,1,4,45,9.0,13,2.6,17.2,0,,0,0.0,0,112.3
Nick Westbrook-Ikhine,TEN,5,4,78,1,4,56,14.0,22,5.5,12.8,0,,0,0.0,0,158.3
A.J. Brown,TEN,6,4,68,1,4,43,10.8,25,6.3,10.3,0,,0,0.0,0,144.4
Anthony Firkser,TEN,4,4,56,1,3,42,10.5,14,3.5,10.5,0,,0,0.0,0,158.3
Chester Rogers,TEN,2,2,4,0,,-3,-1.5,7,3.5,-1.5,0,,0,0.0,0,79.2
D'Onta Foreman,TEN,2,1,15,0,1,2,2.0,13,13.0,2.5,0,,0,0.0,0,75.0
Geoff Swaim,TEN,1,1,2,0,,-2,-2.0,4,4.0,-2.0,0,,0,0.0,0,79.2
Dontrell Hilliard,TEN,1,1,1,0,0,-5,-5.0,6,6.0,-5.0,0,,0,0.0,0,79.2
Khari Blasingame,TEN,1,1,5,0,,3,3.0,2,2.0,3.0,0,,0,0.0,0,87.5
Racey McMath,TEN,1,0,0,0,,0,,0,,6.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Danny Amendola,HOU,9,7,113,2,4,78,11.1,35,5.0,13.1,0,,1,11.1,0,158.3
Brandin Cooks,HOU,4,3,26,0,1,19,6.3,7,2.3,10.3,0,,0,0.0,0,91.7
David Johnson,HOU,4,3,8,0,0,-3,-1.0,11,3.7,3.8,0,,0,0.0,0,77.1
Nico Collins,HOU,7,3,67,0,3,53,17.7,14,4.7,20.4,0,,0,0.0,0,77.7
Chris Moore,HOU,3,3,38,1,1,32,10.7,6,2.0,10.7,1,3.0,0,0.0,0,158.3
Rex Burkhead,HOU,4,3,42,0,2,18,6.0,24,8.0,5.0,0,,0,0.0,0,108.3
Antony Auclair,HOU,1,1,7,0,,0,0.0,7,7.0,0.0,1,1.0,0,0.0,0,95.8
