Quarter,Time,Tm,Detail,ARI,BAL
1.0,7:14,Ravens,Matt Stover 21 yard field goal,0,3
2.0,10:52,Ravens,Matt Stover 28 yard field goal,0,6
,5:14,Cardinals,Neil Rackers 48 yard field goal,3,6
,1:55,Ravens,Derrick Mason 13 yard pass from Steve McNair (Matt Stover kick),3,13
,0:55,Ravens,Yamon Figurs 75 yard punt return (Matt Stover kick),3,20
3.0,5:18,Cardinals,Neil Rackers 40 yard field goal,6,20
,0:16,Ravens,Matt Stover 43 yard field goal,6,23
4.0,12:02,Cardinals,Anquan Boldin 5 yard pass from Kurt Warner (Neil Rackers kick),13,23
,10:19,Cardinals,Anquan Boldin 32 yard pass from Kurt Warner (Neil Rackers kick),20,23
,1:50,Cardinals,Neil Rackers 41 yard field goal,23,23
,0:00,Ravens,Matt Stover 46 yard field goal,23,26
