Quarter,Time,Tm,Detail,PHI,IND
1.0,9:48,Eagles,Cody Parkey 31 yard field goal,3,0
,5:18,Colts,Ahmad Bradshaw 1 yard pass from Andrew Luck (Adam Vinatieri kick),3,7
2.0,13:18,Colts,Adam Vinatieri 46 yard field goal,3,10
,6:36,Eagles,Cody Parkey 23 yard field goal,6,10
,1:13,Colts,Jack Doyle 2 yard pass from Andrew Luck (Adam Vinatieri kick),6,17
3.0,6:43,Colts,Adam Vinatieri 27 yard field goal,6,20
,4:32,Eagles,LeSean McCoy 1 yard rush (Cody Parkey kick),13,20
,2:44,Eagles,Darren Sproles 19 yard rush (Cody Parkey kick),20,20
4.0,11:49,Colts,Ahmad Bradshaw 7 yard pass from Andrew Luck (Adam Vinatieri kick),20,27
,3:25,Eagles,Jeremy Maclin 6 yard pass from Nick Foles (Cody Parkey kick),27,27
,0:00,Eagles,Cody Parkey 36 yard field goal,30,27
