Quarter,Time,Tm,Detail,NYG,SEA
1.0,12:39,Seahawks,Shaun Alexander 2 yard rush (Josh Brown kick),0,7
,6:54,Seahawks,Nate Burleson 12 yard pass from Matt Hasselbeck (Josh Brown kick),0,14
,4:12,Seahawks,Darrell Jackson 4 yard pass from Matt Hasselbeck (Josh Brown kick),0,21
2.0,5:27,Seahawks,Will Heller 10 yard pass from Matt Hasselbeck (Josh Brown kick),0,28
,0:45,Seahawks,Bobby Engram 21 yard pass from Matt Hasselbeck (Josh Brown kick),0,35
,0:00,Giants,Jay Feely 46 yard field goal,3,35
3.0,3:18,Seahawks,Darrell Jackson 12 yard pass from Matt Hasselbeck (Josh Brown kick),3,42
4.0,13:35,Giants,Amani Toomer 13 yard pass from Eli Manning (Jay Feely kick),10,42
,9:41,Giants,Tim Carter 25 yard pass from Eli Manning (Jay Feely kick),17,42
,9:30,Giants,R.W. McQuarters 27 yard interception return (Jay Feely kick),24,42
,2:42,Giants,David Tyree 9 yard pass from Eli Manning (pass failed),30,42
