Quarter,Time,Tm,Detail,BAL,TAM
1.0,11:03,Ravens,Justin Tucker 22 yard field goal,3,0
,6:56,Buccaneers,Leonard Fournette 1 yard rush (Ryan Succop kick),3,7
,0:26,Buccaneers,Ryan Succop 31 yard field goal,3,10
3.0,9:11,Ravens,Kenyan Drake 5 yard pass from Lamar Jackson (Justin Tucker kick),10,10
,0:12,Ravens,Isaiah Likely 10 yard pass from Lamar Jackson (Justin Tucker kick),17,10
4.0,12:26,Buccaneers,Ryan Succop 30 yard field goal,17,13
,6:55,Ravens,Devin Duvernay 15 yard rush (Justin Tucker kick),24,13
,4:54,Buccaneers,Ryan Succop 26 yard field goal,24,16
,2:12,Ravens,Justin Tucker 30 yard field goal,27,16
,0:49,Buccaneers,Julio Jones 8 yard pass from Tom Brady (run failed),27,22
